country,contribution_pct
United States,61.373400000000004
Japan,5.9244
United Kingdom,3.4866
Canada,3.2544000000000004
China,2.6868
Taiwan,2.6376
France,2.1258000000000004
Switzerland,2.0056
Germany,1.9806000000000001
Korea (South),1.9607999999999999
Australia,1.7086000000000001
India,1.5744
Netherlands,1.1
Sweden,0.8946000000000001
Spain,0.8076
Italy,0.7434000000000001
Brazil,0.5148
Hong Kong,0.47880000000000006
South Africa,0.444
Singapore,0.4222
Denmark,0.38680000000000003
Israel,0.37860000000000005
Saudi Arabia,0.3288
Belgium,0.2958
Finland,0.2886
Mexico,0.2388
Norway,0.2146
Malaysia,0.1632
Thailand,0.15239999999999998
United Arab Emirates,0.15
Poland,0.1464
Ireland,0.13040000000000002
Indonesia,0.12
Austria,0.09240000000000001
Kuwait,0.08159999999999999
Turkey,0.0768
Greece,0.0736
Chile,0.0732
Qatar,0.07079999999999999
Portugal,0.0626
New Zealand,0.051000000000000004
Philippines,0.0504
Peru,0.045599999999999995
European Union,0.04
Hungary,0.036
Colombia,0.0204
Czech Republic,0.0144
Egypt,0.0096
